S NO,Course ID,Discipline,Course Name,SME Name,Institute,Co-ordinating Institute,Duration,Type of course,Start date,End date,Exam date,Enrollment End date,Exam Registration End date,UG/PG,Core/Elective,FDP,Applicable NPTEL Domain,Click here to Join the course,Current course ID,Old course URL,Old Course ID,Course ID,NPTEL URL,NPTEL URL,NPTEL ID
1,noc25-ae17,Aerospace / Mechanical Engineering,Elements of Mechanical Vibration,Prof. Ashish K Darpe,IIT Delhi,IIT Delhi,12 Weeks,Rerun,21-Jul-25,10-Oct-25,2-Nov-25,28-Jul-25,15-Aug-25,UG/PG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc25_ae17/preview,noc25_ae17,https://onlinecourses.nptel.ac.in/noc24_ae16/preview,https://onlinecourses.nptel.ac.in/noc24_ae16/preview,noc24_ae16,https://nptel.ac.in/courses/101102090,https://nptel.ac.in/courses/101102090,101102090
2,noc25-ae18,Aerospace Engineering,Rocket Propulsion,"Prof. K. Ramamurthi,
Prof. P.A. Ramakrishna",IIT Madras,IIT Madras,12 Weeks,Rerun,21-Jul-25,10-Oct-25,25-Oct-25,28-Jul-25,15-Aug-25,UG/PG,Elective,Yes,Propulsion,https://onlinecourses.nptel.ac.in/noc25_ae18/preview,noc25_ae18,https://onlinecourses.nptel.ac.in/noc24_ae08/preview,https://onlinecourses.nptel.ac.in/noc24_ae08/preview,noc24_ae08,https://nptel.ac.in/courses/101106082,https://nptel.ac.in/courses/101106082,101106082
3,noc25-ae19,Aerospace Engineering,Introduction to Aerospace Engineering - Flight,Prof. Rajkumar S. Pant,IIT Bombay,IIT Bombay,12 Weeks,Rerun,21-Jul-25,10-Oct-25,25-Oct-25,28-Jul-25,15-Aug-25,UG,Core,No,Flight Mechanics,https://onlinecourses.nptel.ac.in/noc25_ae19/preview,noc25_ae19,https://onlinecourses.nptel.ac.in/noc24_ae22/preview,https://onlinecourses.nptel.ac.in/noc24_ae22/preview,noc24_ae22,https://nptel.ac.in/courses/101101079,https://nptel.ac.in/courses/101101079,101101079
4,noc25-ae20,Aerospace Engineering,Introduction to Aircraft Design,Prof. Rajkumar S. Pant,IIT Bombay,IIT Bombay,12 Weeks,Rerun,21-Jul-25,10-Oct-25,25-Oct-25,28-Jul-25,15-Aug-25,UG/PG,Elective,Yes,Flight Mechanics,https://onlinecourses.nptel.ac.in/noc25_ae20/preview,noc25_ae20,https://onlinecourses.nptel.ac.in/noc24_ae24/preview,https://onlinecourses.nptel.ac.in/noc24_ae24/preview,noc24_ae24,https://nptel.ac.in/courses/101101083,https://nptel.ac.in/courses/101101083,101101083
5,noc25-ae21,Aerospace Engineering,Introduction to Airbreathing Propulsion,Prof. Ashoke De,IIT Kanpur,IIT Kanpur,12 Weeks,Rerun,21-Jul-25,10-Oct-25,26-Oct-25,28-Jul-25,15-Aug-25,UG/PG,Elective,Yes,Flight Mechanics,https://onlinecourses.nptel.ac.in/noc25_ae21/preview,noc25_ae21,https://onlinecourses.nptel.ac.in/noc24_ae21/preview,https://onlinecourses.nptel.ac.in/noc24_ae21/preview,noc24_ae21,https://nptel.ac.in/courses/101104084,https://nptel.ac.in/courses/101104084,101104084
6,noc25-ae22,Aerospace Engineering,Applied Computational Fluid Dynamics,Prof. Rajesh Ranjan,IIT Kanpur,IIT Kanpur,12 Weeks,Rerun,21-Jul-25,10-Oct-25,26-Oct-25,28-Jul-25,15-Aug-25,UG/PG,Elective,Yes,Computational Thermo Fluids,https://onlinecourses.nptel.ac.in/noc25_ae22/preview,noc25_ae22,https://onlinecourses.nptel.ac.in/noc24_ae23/preview,https://onlinecourses.nptel.ac.in/noc24_ae23/preview,noc24_ae23,https://nptel.ac.in/courses/101104450,https://nptel.ac.in/courses/101104450,101104450
7,noc25-ae23,Aerospace Engineering,Aircraft Stability and Control,Prof. A K Ghosh,IIT Kanpur,IIT Kanpur,12 Weeks,Rerun,21-Jul-25,10-Oct-25,1-Nov-25,28-Jul-25,15-Aug-25,UG,Core,No,Flight Mechanics,https://onlinecourses.nptel.ac.in/noc25_ae23/preview,noc25_ae23,https://onlinecourses.nptel.ac.in/noc24_ae17/preview,https://onlinecourses.nptel.ac.in/noc24_ae17/preview,noc24_ae17,https://nptel.ac.in/courses/101104062,https://nptel.ac.in/courses/101104062,101104062
8,noc25-ae24,Aerospace Engineering,Introduction to Airplane Performance,Prof. A K Ghosh,IIT Kanpur,IIT Kanpur,8 Weeks,Rerun,21-Jul-25,12-Sep-25,21-Sep-25,28-Jul-25,15-Aug-25,UG,Core,No,Flight Mechanics,https://onlinecourses.nptel.ac.in/noc25_ae24/preview,noc25_ae24,https://onlinecourses.nptel.ac.in/noc24_ae13/preview,https://onlinecourses.nptel.ac.in/noc24_ae13/preview,noc24_ae13,https://nptel.ac.in/courses/101104061,https://nptel.ac.in/courses/101104061,101104061
9,noc25-ae25,Aerospace Engineering,Design of Fixed Wing Unmanned Aerial Vehicles,Prof. Saderla Subrahmanyam,IIT Kanpur,IIT Kanpur,8 Weeks,Rerun,21-Jul-25,12-Sep-25,21-Sep-25,28-Jul-25,15-Aug-25,UG/PG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc25_ae25/preview,noc25_ae25,https://onlinecourses.nptel.ac.in/noc24_ae14/preview,https://onlinecourses.nptel.ac.in/noc24_ae14/preview,noc24_ae14,https://nptel.ac.in/courses/101104073,https://nptel.ac.in/courses/101104073,101104073
10,noc25-ae26,Aerospace Engineering,UAV Design - Part II,Prof. Saderla Subrahmanyam,IIT Kanpur,IIT Kanpur,8 Weeks,Rerun,21-Jul-25,12-Sep-25,21-Sep-25,28-Jul-25,15-Aug-25,UG/PG,Elective,Yes,Flight Mechanics,https://onlinecourses.nptel.ac.in/noc25_ae26/preview,noc25_ae26,https://onlinecourses.nptel.ac.in/noc24_ae15/preview,https://onlinecourses.nptel.ac.in/noc24_ae15/preview,noc24_ae15,https://nptel.ac.in/courses/101104083,https://nptel.ac.in/courses/101104083,101104083
11,noc25-ae27,Aerospace Engineering,Industrial Aerodynamics,Prof. Sunil Manohar Dash,IIT Kharagpur,IIT Kharagpur,12 Weeks,New,21-Jul-25,10-Oct-25,1-Nov-25,28-Jul-25,15-Aug-25,UG/PG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc25_ae27/preview,noc25_ae27,,,,https://nptel.ac.in/courses/101105660,https://nptel.ac.in/courses/101105660,101105660
12,noc25-ae28,Aerospace Engineering,Smart Structures,Prof. Mohammed Rabius Sunny,IIT Kharagpur,IIT Kharagpur,12 Weeks,Rerun,21-Jul-25,10-Oct-25,1-Nov-25,28-Jul-25,15-Aug-25,UG/PG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc25_ae28/preview,noc25_ae28,https://onlinecourses.nptel.ac.in/noc24_ae18/preview,https://onlinecourses.nptel.ac.in/noc24_ae18/preview,noc24_ae18,https://nptel.ac.in/courses/101105090,https://nptel.ac.in/courses/101105090,101105090
13,noc25-ae29,Aerospace Engineering,Space Flight Mechanics,Prof. Manoranjan Sinha,IIT Kharagpur,IIT Kharagpur,12 Weeks,Rerun,21-Jul-25,10-Oct-25,1-Nov-25,28-Jul-25,15-Aug-25,UG/PG,Elective,Yes,Flight Mechanics,https://onlinecourses.nptel.ac.in/noc25_ae29/preview,noc25_ae29,https://onlinecourses.nptel.ac.in/noc24_ae20/preview,https://onlinecourses.nptel.ac.in/noc24_ae20/preview,noc24_ae20,https://nptel.ac.in/courses/101105083,https://nptel.ac.in/courses/101105083,101105083
14,noc25-ae30,Aerospace Engineering,Drone Systems and Control,Prof. Suresh Sundaram,IISc Bangalore,IISc Bangalore,12 Weeks,New,21-Jul-25,10-Oct-25,2-Nov-25,28-Jul-25,15-Aug-25,UG/PG,Elective,Yes,Flight Mechanics,https://onlinecourses.nptel.ac.in/noc25_ae30/preview,noc25_ae30,,,,https://nptel.ac.in/courses/101108661,https://nptel.ac.in/courses/101108661,101108661
15,noc25-ae31,Aerospace Engineering,Aircraft Structures - I,Prof. Anup Ghosh,IIT Kharagpur,IIT Kharagpur,8 Weeks,Rerun,21-Jul-25,12-Sep-25,21-Sep-25,28-Jul-25,15-Aug-25,UG/PG,Core,Yes,,https://onlinecourses.nptel.ac.in/noc25_ae31/preview,noc25_ae31,https://onlinecourses.nptel.ac.in/noc22_ae19/preview,https://onlinecourses.nptel.ac.in/noc22_ae19/preview,noc22_ae19,https://nptel.ac.in/courses/101105084,https://nptel.ac.in/courses/101105084,101105084
16,noc25-ae32,Aerospace Engineering,Introduction to CFD,Prof. Arnab Roy,IIT Kharagpur,IIT Kharagpur,12 Weeks,Rerun,21-Jul-25,10-Oct-25,2-Nov-25,28-Jul-25,15-Aug-25,UG/PG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc25_ae32/preview,noc25_ae32,https://onlinecourses.nptel.ac.in/noc22_ae20/preview,https://onlinecourses.nptel.ac.in/noc22_ae20/preview,noc22_ae20,https://nptel.ac.in/courses/101105085,https://nptel.ac.in/courses/101105085,101105085
17,noc25-ae33,Aerospace Engineering,Mechanics of Composite Materials and Structures,Prof. Mohammed Rabius Sunny,IIT Kharagpur,IIT Kharagpur,12 Weeks,New,21-Jul-25,10-Oct-25,2-Nov-25,28-Jul-25,15-Aug-25,UG/PG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc25_ae33/preview,noc25_ae33,,,,https://nptel.ac.in/courses/101105662,https://nptel.ac.in/courses/101105662,101105662
18,noc25-ae34,Aerospace Engineering,Aerodynamic Design of Axial Flow Compressors & Fans,Prof. Chetankumar Sureshbhai Mistry,IIT Kharagpur,IIT Kharagpur,12 Weeks,Rerun,21-Jul-25,10-Oct-25,2-Nov-25,28-Jul-25,15-Aug-25,PG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc25_ae34/preview,noc25_ae34,https://onlinecourses.nptel.ac.in/noc23_ae18/preview,https://onlinecourses.nptel.ac.in/noc23_ae18/preview,noc23_ae18,https://nptel.ac.in/courses/101105089,https://nptel.ac.in/courses/101105089,101105089
19,noc25-ag15,Agriculture Engineering,Operations Research,Prof. Rajendra Singh,IIT Kharagpur,IIT Kharagpur,12 Weeks,New,21-Jul-25,10-Oct-25,2-Nov-25,28-Jul-25,15-Aug-25,UG,Elective,Yes,Operations,https://onlinecourses.nptel.ac.in/noc25_ag15/preview,noc25_ag15,,,,https://nptel.ac.in/courses/126105663,https://nptel.ac.in/courses/126105663,126105663
20,noc25-ag16,Agriculture Engineering,Food Oils and Facts: Chemistry and Technology,Prof. Hari. Niwas Mishra,IIT Kharagpur,IIT Kharagpur,12 Weeks,Rerun,21-Jul-25,10-Oct-25,1-Nov-25,28-Jul-25,15-Aug-25,UG/PG,Elective,Yes,Food Process Engineering,https://onlinecourses.nptel.ac.in/noc25_ag16/preview,noc25_ag16,https://onlinecourses.nptel.ac.in/noc24_ag09/preview,https://onlinecourses.nptel.ac.in/noc24_ag09/preview,noc24_ag09,https://nptel.ac.in/courses/126105027,https://nptel.ac.in/courses/126105027,126105027
21,noc25-ag17,Agriculture Engineering,Advanced Aquaculture Technology,Prof. Gourav Dhar Bhowmick,IIT Kharagpur,IIT Kharagpur,12 Weeks,Rerun,21-Jul-25,10-Oct-25,1-Nov-25,28-Jul-25,15-Aug-25,UG/PG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc25_ag17/preview,noc25_ag17,https://onlinecourses.nptel.ac.in/noc24_ag10/preview,https://onlinecourses.nptel.ac.in/noc24_ag10/preview,noc24_ag10,https://nptel.ac.in/courses/126105022,https://nptel.ac.in/courses/126105022,126105022
22,noc25-ag18,Agriculture Engineering,"Post Harvest Operations and Processing of Fruits, Vegetables, Spices and Plantation Crop Products",Prof. Hari Niwas Mishra,IIT Kharagpur,IIT Kharagpur,12 Weeks,Rerun,21-Jul-25,10-Oct-25,2-Nov-25,28-Jul-25,15-Aug-25,UG/PG,Elective,Yes,Food Process Engineering,https://onlinecourses.nptel.ac.in/noc25_ag18/preview,noc25_ag18,https://onlinecourses.nptel.ac.in/noc24_ag11/preview,https://onlinecourses.nptel.ac.in/noc24_ag11/preview,noc24_ag11,https://nptel.ac.in/courses/126105023,https://nptel.ac.in/courses/126105023,126105023
23,noc25-ag19,Agriculture Engineering,Soil Fertility and Fertilizers,Prof. Somsubhra Chakraborty,IIT Kharagpur,IIT Kharagpur,12 Weeks,Rerun,21-Jul-25,10-Oct-25,2-Nov-25,28-Jul-25,15-Aug-25,UG,Elective,Yes,Integrated Soil and Water Management,https://onlinecourses.nptel.ac.in/noc25_ag19/preview,noc25_ag19,https://onlinecourses.nptel.ac.in/noc24_ag12/preview,https://onlinecourses.nptel.ac.in/noc24_ag12/preview,noc24_ag12,https://nptel.ac.in/courses/126105024,https://nptel.ac.in/courses/126105024,126105024
24,noc25-ag20,Agriculture Engineering,Micro Irrigation Engineering,Prof. Kamlesh Narayan Tiwari,IIT Kharagpur,IIT Kharagpur,12 Weeks,Rerun,21-Jul-25,10-Oct-25,1-Nov-25,28-Jul-25,15-Aug-25,UG/PG,Elective,Yes,Integrated Soil and Water Management,https://onlinecourses.nptel.ac.in/noc25_ag20/preview,noc25_ag20,https://onlinecourses.nptel.ac.in/noc24_ag13/preview,https://onlinecourses.nptel.ac.in/noc24_ag13/preview,noc24_ag13,https://nptel.ac.in/courses/126105019,https://nptel.ac.in/courses/126105019,126105019
25,noc25-ag21,Agriculture Engineering,Farm Machinery,Prof. V K Tewari,IIT Kharagpur,IIT Kharagpur,12 Weeks,Rerun,21-Jul-25,10-Oct-25,1-Nov-25,28-Jul-25,15-Aug-25,UG,Core,No,,https://onlinecourses.nptel.ac.in/noc25_ag21/preview,noc25_ag21,https://onlinecourses.nptel.ac.in/noc24_ag14/preview,https://onlinecourses.nptel.ac.in/noc24_ag14/preview,noc24_ag14,https://nptel.ac.in/courses/126105009,https://nptel.ac.in/courses/126105009,126105009
26,noc25-ag22,Agriculture Engineering,Dairy and Food Process and Products Technology,Prof. Tridib Kumar Goswami,IIT Kharagpur,IIT Kharagpur,12 Weeks,Rerun,21-Jul-25,10-Oct-25,1-Nov-25,28-Jul-25,15-Aug-25,PG,Elective,Yes,Food Process Engineering,https://onlinecourses.nptel.ac.in/noc25_ag22/preview,noc25_ag22,https://onlinecourses.nptel.ac.in/noc24_ag15/preview,https://onlinecourses.nptel.ac.in/noc24_ag15/preview,noc24_ag15,https://nptel.ac.in/courses/126105013,https://nptel.ac.in/courses/126105013,126105013
27,noc25-ag23,Agriculture Engineering,Thermal Operations in Food Process Engineering: Theory and Applications,Prof. Tridib Kumar Goswami,IIT Kharagpur,IIT Kharagpur,12 Weeks,Rerun,21-Jul-25,10-Oct-25,2-Nov-25,28-Jul-25,15-Aug-25,UG/PG,Elective,Yes,Food Process Engineering,https://onlinecourses.nptel.ac.in/noc25_ag23/preview,noc25_ag23,https://onlinecourses.nptel.ac.in/noc24_ag16/preview,https://onlinecourses.nptel.ac.in/noc24_ag16/preview,noc24_ag16,https://nptel.ac.in/courses/126105018,https://nptel.ac.in/courses/126105018,126105018
28,noc25-ag24,Agriculture Engineering,Fundamentals of Food Process Engineering,Prof. Jayeeta Mitra,IIT Kharagpur,IIT Kharagpur,12 Weeks,Rerun,21-Jul-25,10-Oct-25,2-Nov-25,28-Jul-25,15-Aug-25,UG,Core,No,Food Process Engineering,https://onlinecourses.nptel.ac.in/noc25_ag24/preview,noc25_ag24,https://onlinecourses.nptel.ac.in/noc23_ag09/preview,https://onlinecourses.nptel.ac.in/noc23_ag09/preview,noc23_ag09,https://nptel.ac.in/courses/126105011,https://nptel.ac.in/courses/126105011,126105011
29,noc25-ag25,Agriculture Engineering,Irrigation and Drainage,Prof. Damodhara Rao Mailapalli,IIT Kharagpur,IIT Kharagpur,12 Weeks,Rerun,21-Jul-25,10-Oct-25,2-Nov-25,28-Jul-25,15-Aug-25,UG,Core,No,Integrated Soil and Water Management,https://onlinecourses.nptel.ac.in/noc25_ag25/preview,noc25_ag25,https://onlinecourses.nptel.ac.in/noc23_ag17/preview,https://onlinecourses.nptel.ac.in/noc23_ag17/preview,noc23_ag17,https://nptel.ac.in/courses/126105010,https://nptel.ac.in/courses/126105010,126105010
30,noc25-ge42,Multidisciplinary,Technical Communication for Engineers,Prof. Arun K. Saraf,IIT Roorkee,IIT Roorkee,4 Weeks,Rerun,21-Jul-25,15-Aug-25,21-Sep-25,28-Jul-25,15-Aug-25,UG/PG,Core,Yes,"Faculty Domain - Fundamental
Faculty Domain - Advanced",https://onlinecourses.nptel.ac.in/noc25_ge42/preview,noc25_ge42,https://onlinecourses.nptel.ac.in/noc24_ge37/preview,https://onlinecourses.nptel.ac.in/noc24_ge37/preview,noc24_ge37,https://nptel.ac.in/courses/121107451,https://nptel.ac.in/courses/121107451,121107451
31,noc25-ge43,"Any Engineering, Science and Management Disciplines",Carbon Accounting and Sustainable Designs in Product Lifecycle Management,"Prof. Deepu Philip,
Prof. Amandeep Singh Oberoi,
Prof. Prabal Pratap Singh",IIT Kanpur,IIT Kanpur,12 Weeks,Rerun,21-Jul-25,10-Oct-25,26-Oct-25,28-Jul-25,15-Aug-25,UG/PG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc25_ge43/preview,noc25_ge43,https://onlinecourses.nptel.ac.in/noc24_ge49/preview,https://onlinecourses.nptel.ac.in/noc24_ge49/preview,noc24_ge49,https://nptel.ac.in/courses/121104452,https://nptel.ac.in/courses/121104452,121104452
