title,platform,provider,skills,rating,review_count,url,description,difficulty,duration,language
"""Making"" Progress Teach-Out",Coursera,Emory University,Skills: education  circle time  Newspaper  family  hopefully  Comedy  closed community  constitution  Cancer  pride social-sciences governance-and-society,4.2,,https://www.coursera.org/learn/makingprogress,"What is �progress�? How do we decide when we�re moving forward and not taking steps backward? And how do we explore the idea of progress around public sites of memory? This Teach-Out is an invitation to think about what progress means, and how you can look for it wherever you are�in your city, community, or neighborhood�and reflect upon your own ideas about the place you live in.  Changes in the built environment of our communities are themselves the result of human actions and intentions, such ",Beginner,,English
(ISC)² Systems Security Certified Practitioner (SSCP),Coursera,ISC2,"Skills: Security Engineering, System Security, Network Security, Software Security, Computer Security Incident Management, Leadership and Management, Security Software, Risk Management, Strategy and Operations, Algorithms, Cloud Computing, Cryptography, Cyberattacks, Operations Management, Security Strategy, Human Factors (Security), Software-Defined Networking, Cloud Applications, Communication, Financial Accounting",4.7,4.7(546 reviews),,,,,English
(Non) Status quo Attitudes with NetLogo,Coursera,Coursera Project Network,Skills: constant (computer programming)  interact  euler's totient function  presentation  modeling  simulation  phenomenon  Influencing  debugging  Computer Programming physical-science-and-engineering research-methods,,,https://www.coursera.org/learn/nonstatusquo-attitudes-netlogo,"Have you ever wondered what is behind different cultural traits and attitudes towards the status quo? Or more broadly, what influences the Zeitgeist of a society? Generally speaking, when it comes to changing (or not) the current spirit and state of affairs of a given society or community, some people show themselves as idealists, and they can even inspire others. At the same time, some other people are traditionalists, and some are just neutral about how things are. In this guided-project you w",Conversant,,English
1. 基礎知識：データはあらゆるところにある,Coursera,Google,"Skills: Data Analysis, Business Analysis, Data Visualization, Decision Making, Problem Solving, Process Analysis, Data Management, Exploratory Data Analysis, SQL, Visualization (Computer Graphics)",4.7,4.7(207 reviews),,,,,English
1.- El Cálculo - Modelo Lineal,Coursera,Tecnológico de Monterrey,"Skills: Algebra, Calculus, Linear Algebra, Mathematics, Graph Theory, Mathematical Theory & Analysis, Data Visualization, Geometry",4.8,4.8(1K reviews),,,,,English
1E Test: How Computers Work,Coursera,Coursera,Skills: physical address  computer data storage  name resolution (computer systems)  autonomous system (internet)  service abstraction  peer-to-peer computing  computer terminals  operating system technology  single system image  operational context computer-science software-development,,,https://www.coursera.org/learn/how-computers-work-mooc-copy,Test,Advanced,,English
3-Axis Machining with Autodesk Fusion 360,Coursera,Autodesk,Skills: Mechanical Engineering  representational state transfer  relative change and difference  Autodesk  Geometry  autocad  materials  solid edge  Chemical Engineering  computer-aided design physical-science-and-engineering mechanical-engineering,4.9,,https://www.coursera.org/learn/3-axis-machining-autodesk-fusion-360,"As our machining geometry gets more complicated, Autodesk� Fusion 360� is up to the task!  With a host of standard and adaptive toolpaths we can rapidly remove material from even the most complicated 3d parts. In this course, we explore how to rough and finish geometry that requires tool motion in X, Y, and Z simultaneously, learning how to finish even the finest of details. We�ll wrap up this course by creating a full CNC program for a part, simulating it, and exporting it to G-code.  Want to t",Intermediate,,English
3.- El Cálculo - Modelo Cúbico,Coursera,Tecnológico de Monterrey,"Skills: Mathematics, Algebra, Calculus",4.7,4.7(225 reviews),,,,,English
3D Art and Audio Pipeline,Coursera,Unity,Skills: Software Engineering  software development process  reusability  augmented reality  application programming interfaces  run time (program lifecycle phase)  rendering (computer graphics)  interfaces  Visual Design  shader computer-science software-development,4.3,,https://www.coursera.org/learn/3d-art-and-audio-pipeline,"Welcome to 3D Art and Audio Pipeline, the third course in the Unity Certified Programmer Specialization from Unity Technologies.  This course will help you prepare for the Unity Certified Programmer exam, the professional certification for entry to mid-level Unity programmers. Unity is used to create real-time 3D applications for many industries, including video games, automotive, film, training, and more. In this course, you will be challenged to solve realistic Unity programming problems that ",Advanced,,English
3D CAD Application,Coursera,National Taiwan University,Skills: house plan  wall  building information modeling  autocad  computer-aided design  3d modeling  autodesk 3ds max  beam robotics  Civil Engineering  sketchup physical-science-and-engineering mechanical-engineering,4.9,,https://www.coursera.org/learn/3d-cad-application,"Do you want to obtain all the necessary skills of a 3D modeler? Do you want to know how an engineer develop a building model in details? The �3D CAD Application� course, the second course of the new specialization, is coming!  After finishing this course: You will be able to know how to use the SketchUp�s Advanced functions by creating 3D building models. You will be able to develop a building as an engineer. Let�s start the learning journey!",Advanced,,English
3D CAD Fundamental,Coursera,National Taiwan University,Skills: 3d modeling  3d lookup table  autodesk 3ds max  3D Printing  Mechanical Engineering  sketchup  Scaling  computer-aided design  Civil Engineering  mir:ror physical-science-and-engineering mechanical-engineering,4.6,,https://www.coursera.org/learn/3d-cad-fundamental,"There have many three-dimensional shape of the object in your brain that are wanted to share, but do not know how to express? How to ""sketch"" the three-dimensional image in your mind? 3D modeling technology can help us construct the most intuitive and understandable three-dimensional model. The use of floor plan interpret the three-dimensional object process-the most direct and effective expression of our ideas. We have designed many paradigms so that people can quickly understand the logic of u",Intermediate,,English
